,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS,LINKS
165,Sadhuram Eye Hospital,"Domalguda, Hyderabad",9.0,,https://www.practo.com/hyderabad/hospital/sadhuram-eye-hospital-domalguda
166,Vijaya Sree Hospital,"Chanda Nagar, Hyderabad",2.0,,https://www.practo.com/hyderabad/hospital/vijaya-sree-hospital-chanda-nagar
167,Healix Hospitals,"Madinaguda, Hyderabad",4.0,100.0,https://www.practo.com/hyderabad/hospital/healix-hospital-madinaguda-1
168,Human Touch Hospital ,"Attapur, Hyderabad",1.0,90.0,https://www.practo.com/hyderabad/hospital/dr-jawad-khan-orthopedic-clinic-attapur
169,Advanced Endocrine & Diabetes Hospital & Research Center,"KPHB, Hyderabad",2.0,15.0,https://www.practo.com/hyderabad/hospital/advanced-endocrine-diabetes-hospital-and-research-center-kphb
170,Usha Mohan Hospitals,"Attapur, Hyderabad",7.0,,https://www.practo.com/hyderabad/hospital/usha-mohan-hospitals-hyderguda
171,B. V. K. Reddy  Hospital,"Warasiguda, Hyderabad",2.0,10.0,https://www.practo.com/hyderabad/hospital/b-v-k-reddy-hospital-padmarao-nagar
172,People's Hospital,"Pragathi Nagar, Hyderabad",4.0,5.0,https://www.practo.com/hyderabad/hospital/people-s-hospital-kukatpally
173,Hyderabad Nursing Home,"Basheerbagh, Hyderabad",5.0,,https://www.practo.com/hyderabad/hospital/hyderabad-nursing-home-basheerbagh
174,Shilpa Nursing Home,"Miyapur, Hyderabad",2.0,15.0,https://www.practo.com/hyderabad/hospital/shilpa-nursing-home-miyapur
175,Shenoy Nursing Home,"East Marredpally, Hyderabad",2.0,20.0,https://www.practo.com/hyderabad/hospital/shenoy-nursing-home-secunderabad
176,KIMS - Krishna Institute of Medical Sciences,"Secunderabad, Hyderabad",163.0,1000.0,https://www.practo.com/hyderabad/hospital/krishna-institute-of-medical-sciences-kims-secunderabad
177,Mahatma Sri Ramachandra Centenary Memorial Hospital,"Vijaynagar Colony, Hyderabad",7.0,,https://www.practo.com/hyderabad/hospital/mahatma-sri-ramachandra-centenary-memorial-hospital-vijay-nagar-colony
178,Magna Code,"Jubilee Hills, Hyderabad",6.0,5.0,https://www.practo.com/hyderabad/hospital/magnacode-jubilee-hills
